geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
0610005C13Rik	1641.57099436298	0.0804345936643147	0.158171323301685	0.508528296946087	0.61108289971175	0.780942015303269	0.213899869225249	non-sig	71661
0610006L08Rik	3.88932774615917	-0.0241772978694925	0.673132763309394	-0.0359175770179824	0.971348080476456	NA	0.0126251137157555	non-sig	76253
0610009B22Rik	1031.34400354074	0.428838529492306	0.178742233207979	2.39920091517108	0.0164308964454898	0.108455302176574	1.78433874145179	non-sig	NA
0610009E02Rik	304.980161936167	0.0117673951099126	0.265290298412185	0.0443566733512034	0.964620097289839	0.983572457751154	0.0156436940509236	non-sig	100125929
0610009L18Rik	142.966032636533	0.239573486727416	0.165115893201612	1.4509414089829	0.146796175978217	0.364648777346036	0.833285257588818	non-sig	66838
0610010F05Rik	1526.91697186085	0.153019294488351	0.092971437892009	1.64587423791477	0.0997896539152245	0.296991625721917	1.00091448356681	non-sig	NA
0610012G03Rik	1326.16234365915	0.271552471482387	0.14959870378492	1.81520604531976	0.0694922510297522	0.242061100374702	1.15806362019613	non-sig	NA
0610025J13Rik	21.3087287493383	0.00870018886972411	0.357565945375101	0.0243317043534368	0.980588024195218	NA	0.00851341504424879	non-sig	78687
0610030E20Rik	592.030940686635	-0.0841829292218293	0.152698892290279	-0.551300195824594	0.581427904277449	0.761707402163975	0.235504129113735	non-sig	68364
0610031O16Rik	0.466557503582662	1.50259525364487	1.89795905351702	0.79169002664229	0.428541439043856	NA	0.368007176359382	non-sig	68369
0610033M10Rik	18.3056304272241	0.0575929636483096	0.314117685603066	0.183348363648288	0.854524688809762	NA	0.0682753851855491	non-sig	74093
0610038B21Rik	40.7509927262092	0.140367734695214	0.285654737320813	0.49138948652397	0.623150998750412	0.788300495680199	0.205406704579701	non-sig	70345
0610039K10Rik	0.293718942585125	0.715417345872375	2.44313202098087	0.292827951878405	0.769653661780015	NA	0.113704660041846	non-sig	68386
0610040B10Rik	54.7797503864729	0.442407144650555	0.228416921604918	1.93684050000362	0.0527648435235732	0.20705174565983	1.27765534544159	non-sig	67672
0610040F04Rik	107.658228709517	-0.354670960275136	0.193854288257963	-1.82957500431032	0.0673135142352756	0.237427741370015	1.17189773564815	non-sig	75394
0610040J01Rik	4456.93092734244	-0.237845198706415	0.203894654348071	-1.16651022297224	0.243408217757949	0.478373262005017	0.613664763547677	non-sig	NA
0610043K17Rik	1358.10355878292	-0.245699525224041	0.307410118720703	-0.799256466399113	0.424141716082208	0.64502004475429	0.372489010791088	non-sig	68400
1010001B22Rik	2.7616248846486	0.510319728302892	0.698787943331245	0.730292692043467	0.465211294293983	NA	0.332349750112954	non-sig	75403
1100001I12Rik	14.4967139825099	0.455329014006072	0.475225177763067	0.958133186775481	0.33799560275734	NA	0.47108894975384	non-sig	75405
1110002E22Rik	1.20932506284029	1.2935153055957	1.18197233428139	1.09437020485097	0.27379264604658	NA	0.562578221009486	non-sig	102634333
1110002J07Rik	23.4454431369805	-0.0664359002851695	0.278604454330996	-0.238459576838784	0.811524664128862	NA	0.0906982764141012	non-sig	68488
1110002L01Rik	429.32090817974	-0.231942116710545	0.306093793597551	-0.75774851225994	0.448601550941399	0.663801940684256	0.348139229272607	non-sig	100043040
1110004F10Rik	2506.59894862153	0.228780604247907	0.09244225974182	2.47484867729179	0.0133292638706668	0.0971480015712086	1.87519383451226	non-sig	56372
1110006O24Rik	33.8716358559942	0.0490425304440129	0.280382085391442	0.174913209506751	0.861147830602081	0.931560372361865	0.0649222881471078	non-sig	66123
1110008P14Rik	125.494152312733	0.321433870994433	0.210125178962028	1.52972562632544	0.126084657686742	0.335152049084339	0.899337756308454	non-sig	NA
1110012L19Rik	387.525596757667	0.40536273988558	0.169983178528297	2.38472267312086	0.0170920006839299	0.110803565471618	1.76720709847671	non-sig	NA
1110013H19Rik	7.0955968070013	-0.25398305319828	0.524145673598744	-0.484565772439656	0.627984397990485	NA	0.202051145993393	non-sig	68522
1110015O18Rik	0.263542788474326	-0.412616511985455	2.17470564290279	-0.18973441915325	0.849517248101939	NA	0.0708277990439633	non-sig	100503859
1110017D15Rik	15.6766430306688	-0.0597924162468724	0.515737931999544	-0.115935657505458	0.907703535627462	NA	0.0420559729158311	non-sig	NA
1110018N20Rik	19.8769418070351	0.10857652681989	0.320620409030621	0.338645088589854	0.734877111667587	NA	0.133785278856935	non-sig	68941
1110019B22Rik	145.432222449521	-0.0923283982703692	0.267505933692236	-0.345145234709419	0.729985188076967	0.857010033236871	0.13668595193667	non-sig	68529
1110019D14Rik	481.901412778409	-0.803015635828695	0.473480337361467	-1.69598518135644	0.089888686453639	0.278567196063423	1.04629496588577	non-sig	76311
1110020A21Rik	56.2946890507478	-0.191262509307646	0.18944758239969	-1.00958010065352	0.312696507400322	0.546541207930435	0.504876969493359	non-sig	68531
1110025M09Rik	72.9424003536787	0.23819632565299	0.196101629802931	1.21465755227206	0.224496728475192	0.456867009146222	0.648789983460318	non-sig	68635
1110028F18Rik	1.17988164123948	-1.10886822593616	1.0941243915384	-1.01347546450091	0.310833109734335	NA	0.507472726650238	non-sig	68692
1110032A03Rik	1114.04181155096	0.363267951454551	0.143180811677089	2.53712733710309	0.0111766292484395	0.0886279949924386	1.95168915526252	non-sig	NA
1110032F04Rik	264.045391589734	0.957540716108956	0.236718385880441	4.04506271258786	5.23091195082205e-05	0.00492483031159348	4.28142259016066	non-sig	68725
1110035H17Rik	3.36531797431377	0.27592403859329	0.793014766396616	0.347943128281284	0.72788289484573	NA	0.137938486364472	non-sig	68686
1110038B12Rik	233.318272378275	0.138234137875742	0.212926807268341	0.649209649311713	0.516202875569469	0.717570961925782	0.287179580496384	non-sig	68763
1110038F14Rik	300.330838457945	0.136960280488318	0.125858852613654	1.08820537963064	0.276504450363161	0.511680952887924	0.558297874295597	non-sig	117171
1110051M20Rik	1627.45940708582	-0.389961150985645	0.222664991610949	-1.75133570914913	0.0798881001537928	0.261300276841676	1.09751790682406	non-sig	NA
1110059E24Rik	1642.58631399962	0.0991771015698378	0.170930272058436	0.580219643808513	0.561766508258579	0.747938653141653	0.250444156398351	non-sig	66206
1110059G10Rik	461.098231449132	0.25372298756062	0.125504096017533	2.02163113086903	0.0432144734774041	0.18594912204097	1.36437077405002	non-sig	66202
1110060G06Rik	0.288742506409238	-1.96727239778719	2.87973081420578	-0.683144545345206	0.494515509913882	NA	0.305820082703038	non-sig	68814
1110065P20Rik	159.742038873621	0.394252153637153	0.180237411820725	2.18740465508515	0.0287129966527654	0.147951185701428	1.54192147967885	non-sig	68920
1190007I07Rik	245.662215426462	0.423926648544096	0.143523482738347	2.95370931958879	0.00313979596048542	0.0452751858356258	2.50309857361929	non-sig	NA
1190028D05Rik	1.16571883563639	0.523126100704918	1.12944750351338	0.463169911906156	0.643242581163929	NA	0.191625214022626	non-sig	330767
1200007C13Rik	8.14465735607028	0.697687475035856	0.530041099913524	1.31628938802988	0.188076931278868	NA	0.725664469907823	non-sig	74119
1300014J16Rik	85.6818320880513	-0.0761460505369641	0.20510906993709	-0.371246627759168	0.710453846672382	0.845079057057426	0.148464129962489	non-sig	74160
1300017J02Rik	24.2599823040174	0.242881514475103	0.325954968189291	0.745138249692378	0.456188148090726	NA	0.340856002017854	non-sig	NA
1500002C15Rik	20.9651856678202	0.0128674037621048	0.323499524084169	0.0397756497433269	0.968271989554191	NA	0.0140026313585555	non-sig	102636313
1500004A13Rik	129.771865650021	-0.148047853158951	0.131915850450125	-1.12229010125607	0.261739113575469	0.4969684601973	0.582131372733832	non-sig	319830
1500009C09Rik	0.273652081862776	1.13899100481438	2.9619662141259	0.384538824036015	0.70057912626053	NA	0.15454280661998	non-sig	NA
1500009L16Rik	28.669109463211	0.028789980839397	0.264675418834167	0.108774668105599	0.913381216499222	NA	0.0393479238157462	non-sig	69784
1500011B03Rik	355.039663342871	0.122041334200013	0.121911999345581	1.0010608869933	0.316797373007565	0.550061149720334	0.49921842838636	non-sig	66236
1500012K07Rik	0.685106278426511	-0.824282349421906	1.37764647136627	-0.598326469492881	0.549622118202091	NA	0.259935798474281	non-sig	68954
1500015A07Rik	158.907082470721	0.28915353205259	0.128081319409125	2.257577712242	0.023971999479369	0.134569887316782	1.62029574040769	non-sig	68982
1500015L24Rik	4.19942110876522	-1.03617634506136	0.611227178905829	-1.69523931660932	0.0900300312855351	NA	1.04561259893765	non-sig	68994
1500026H17Rik	1503.70872457478	0.311655112516648	0.1256908964191	2.47953607934718	0.0131553420163263	0.0965337350365089	1.88089785651995	non-sig	69002
1500032F14Rik	35.9245743190473	-0.37802669608065	0.267795736859897	-1.41162327867236	0.158060914364658	0.378555997040673	0.80117551004467	non-sig	102631992
1520401A03Rik	3.42346274501291	1.18473428729311	0.730476053272645	1.62186601735309	0.104832039194683	NA	0.97950596621733	non-sig	NA
1600002D24Rik	13.6512700845252	-0.262631396787487	0.534034937760801	-0.491786919201758	0.622869984686537	NA	0.205602596721117	non-sig	69776
