geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Gm50017	52.7207789267675	7.78406400988241	1.07361673700696	7.25031917030549	4.15790655914941e-13	2.61092073640706e-11	12.3811252748174	up	NA
Gm21680	13.9417610091359	-7.20387514686183	1.2869261489596	-5.59773779768614	2.17166863855234e-08	6.06440404000021e-07	7.66320644032938	down	100862368
Gsta1	50.0986530107954	7.11626672873005	1.02828014201338	6.92055252063542	4.49885483368284e-12	2.46858891983742e-10	11.3468980201591	up	14857
Gm48779	12.7344902714366	-7.07058106222303	1.21998596692164	-5.79562491203409	6.80672425007948e-09	2.08145727881662e-07	8.16706184291598	down	NA
Gm47352	11.5213321422623	-6.92417841702936	1.2754532162577	-5.42879842927171	5.67347162666547e-08	1.46580287296192e-06	7.24615111272567	down	NA
Cytl1	16.8326931035988	6.85627710146824	1.22540446925646	5.59511351025872	2.20477473487868e-08	6.14224610303985e-07	7.65663577644411	up	231162
Gm19583	10.7023695753242	-6.81856006167124	1.26533660491651	-5.3887321643723	7.09564582722514e-08	1.79764015374738e-06	7.14900807005351	down	100503184
Sycp2l	9.96807195613943	-6.71609488216652	1.27264836492577	-5.27725887783484	1.31130576773604e-07	3.11689957578578e-06	6.88229602855624	down	637277
Chat	9.76831329868799	-6.68795493014413	1.29117211847944	-5.17975476268824	2.22177791352932e-07	4.97886014305687e-06	6.6532993548232	down	12647
Wfdc18	98.1933210552482	6.67953490994726	0.982265755375354	6.80013008027019	1.04524729358757e-11	5.32013735185501e-10	10.9807809482755	up	14038
Cd177	9.09954611917101	-6.58712380250532	1.42979124808929	-4.60705282068838	4.08416282269721e-06	6.79295778265183e-05	5.38889695228803	down	68891
Gm48877	8.63524129576595	-6.50921695441537	1.30558058980907	-4.98568759770493	6.17418383018707e-07	1.26426848491558e-05	6.20942044397486	down	NA
Sult2a4	8.32201637291894	-6.45571052971303	1.4058629937458	-4.59199122420341	4.3903683447725e-06	7.21538142596096e-05	5.35749904162773	down	434121
Crisp2	7.98741713296297	-6.397474636194	1.33245604979253	-4.80126503023506	1.57666434738597e-06	2.92249109695025e-05	5.80226075283061	down	22024
Vmn2r-ps54	7.86860219235823	-6.37263970589362	1.52060443583465	-4.1908596053751	2.77899585417641e-05	0.000366244206707817	4.55611210112103	down	75835
Plut	7.78478606302218	-6.35966419145812	1.30216504553361	-4.88391560906322	1.03999600213624e-06	2.0218796448816e-05	5.98296833017574	down	70147
Krt36	6.9100008308354	6.30369482725276	1.62596071095532	3.87690476453707	0.000105793743964577	0.00117584764647803	3.97554001322705	up	16673
Adgrg7	7.44837452680291	-6.29591545839887	1.3939549936768	-4.51658445714398	6.28450586213098e-06	9.99266216466798e-05	5.20172886432431	down	239853
Gm36536	7.40804396282456	-6.28695317541873	1.64220507494715	-3.82836058134886	0.000128999670990883	0.00139225977629636	3.88941139735212	down	102640488
Gm48421	7.32762463047164	-6.27075913603225	1.42472822911526	-4.40137214093549	1.07568448780075e-05	0.000159384543823348	4.9683150941908	down	NA
Gm49766	7.31447172746779	-6.26944617466196	1.3126462651512	-4.77618863596872	1.78648819444483e-06	3.2624941871335e-05	5.74799984937725	down	NA
Cd6	7.29618290828315	-6.26623290477118	1.30320797705934	-4.80831380338139	1.52208705872948e-06	2.84151149238965e-05	5.81756050653752	down	12511
Gm39232	7.18855022023601	-6.24304796305032	1.40585957425426	-4.44073368164239	8.96526908396374e-06	0.000136454533011593	5.04743667097331	down	105243264
Gnat3	7.14608340276541	-6.23860596448918	1.38805354234665	-4.49449950896142	6.97337643760487e-06	0.000109398627680127	5.15655689002786	down	242851
Gm34068	7.00392636511493	-6.20527761561315	1.47499671505084	-4.20697724428443	2.58809190730859e-05	0.00034378585092275	4.58702030523354	down	102637191
Tnfsf4	6.94559025991887	-6.19527898831484	1.36544707379274	-4.53717987846024	5.70114767260465e-06	9.17064747199454e-05	5.24403770964194	down	22164
Gm7361	6.90479636913124	-6.18727919469117	1.34348253935217	-4.60540350429467	4.11666845739354e-06	6.84217683806704e-05	5.38545410820836	down	664837
5830411N06Rik	6.72878007784171	-6.14906042771653	1.36678455346086	-4.49892443702733	6.8298126249416e-06	0.000107289732104852	5.16559121097003	down	NA
Gm17535	6.69658596323356	-6.14277302652982	1.37314844958996	-4.47349522068361	7.6951278892555e-06	0.000119523861428019	5.11378415801101	down	NA
4930420G21Rik	6.67635272706832	-6.13708952731008	1.45486035675509	-4.21833580028135	2.46112100569823e-05	0.000328966572674006	4.6088670328575	down	78924
Elf5	6.6563518252528	-6.13292067609738	1.43347648767606	-4.2783545658569	1.88279943107321e-05	0.000258733438494759	4.72519594159648	down	13711
Uroc1	6.6461425117953	-6.13076562156241	1.41031790357023	-4.34708061639317	1.37961522104599e-05	0.000197442190531779	4.8602420227855	down	243537
1700047M11Rik	6.58153373589858	-6.11568967284965	1.41695067918278	-4.31609212846905	1.58815717127668e-05	0.000224118602332105	4.79910652001946	down	67330
2410152P15Rik	6.57357635084565	-6.1152158687344	1.64289509360385	-3.7222193264453	0.000197479370076591	0.00199303953856844	3.704478266771	down	76811
Gabrp	6.45580108064475	-6.08984942395823	1.36643111092899	-4.45675554021742	8.32093985042983e-06	0.000128226556684609	5.07982761736275	down	216643
