geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
0610005C13Rik	6715.66687951359	-0.029519721646283	0.138537474107641	-0.213081130837903	0.831263682092934	0.907563247115957	0.0802611934078638	non-sig	71661
0610006L08Rik	2.10850545520011	-0.349720982888131	1.15583908971488	-0.302568918113333	0.762218404519865	0.864816290802904	0.117920568965951	non-sig	76253
0610009B22Rik	956.40288218944	-0.323338870058807	0.114168712560999	-2.83211453300789	0.00462412821679741	0.0192164750882617	2.3349701323999	non-sig	NA
0610009E02Rik	739.736192224537	-0.0499151521387846	0.241109475239684	-0.20702277290913	0.835992073534008	0.9106441673124	0.0777978403083052	non-sig	100125929
0610009L18Rik	128.195848585409	0.600518753052121	0.32220860907757	1.86375762823752	0.0623557485242018	0.154180645277326	1.20512350309548	non-sig	66838
0610010F05Rik	4596.88116603793	0.380700417044136	0.0798066447433443	4.77028470835301	1.83965714051833e-06	2.44566184563025e-05	5.7352631095207	non-sig	NA
0610012G03Rik	1324.25884826571	0.134646887881815	0.0900481834350979	1.49527600386143	0.134842424963482	0.273164071413832	0.870173445866364	non-sig	NA
0610025J13Rik	5.16764896538766	-1.26105287949528	0.797920396262262	-1.580424420033	0.114009702798045	0.242432109224549	0.943058186450071	non-sig	78687
0610030E20Rik	3341.44086310566	-0.584947002092563	0.140990963755859	-4.14882618367983	3.34184423787807e-05	0.000300306493349563	4.47601379627581	non-sig	68364
0610031O16Rik	14.1505664207418	-0.977038288917809	0.429852545958208	-2.27296150297269	0.0230284999436593	0.0705709270862464	1.63773435067705	non-sig	68369
0610033M10Rik	0.593616727058598	-3.17764925250706	3.22787213283825	-0.984440870559817	0.324898790987153	NA	0.488251904747923	non-sig	74093
0610038B21Rik	50.4381124336943	0.713507316147227	0.473650669876341	1.50639988819926	0.131964549390301	0.268865678098934	0.879542720854441	non-sig	70345
0610039K10Rik	7.80575934815332	0.0795669356960796	0.59671406287554	0.133341814189278	0.893923059894841	0.941582343164781	0.0486998593931976	non-sig	68386
0610040B10Rik	199.662223646861	-0.0921279446895847	0.184268213919131	-0.499966558149941	0.617098625080575	0.766484100451922	0.209645421209312	non-sig	67672
0610040F04Rik	300.879524838514	-0.390532675248619	0.187022044917988	-2.08816386014747	0.0367830561030162	0.102310543211771	1.43435219044493	non-sig	75394
0610040J01Rik	12040.4231056217	-0.141472946056672	0.176263026266333	-0.802624061627689	0.422192056600981	0.604281460061084	0.374489942053504	non-sig	NA
0610043K17Rik	3572.4685206622	-1.61667832302708	0.389403629691155	-4.15167759044594	3.30047007005905e-05	0.000296809100908025	4.48142420124511	down	68400
1010001B22Rik	16.3880193666116	0.291871746686028	0.428083122198837	0.681810918372201	0.495358519422523	0.667936080294376	0.305080363394406	non-sig	75403
1100001I12Rik	11.715955147873	0.362167002325624	0.586669563729567	0.617327069131151	0.537019015748386	0.703363150020444	0.27001033573736	non-sig	75405
1110002E22Rik	102.010452203574	-0.652971209387175	0.231069564117542	-2.82586420189471	0.0047153249745764	0.0195350331566227	2.3264883708372	non-sig	102634333
1110002J07Rik	111.502278945164	-0.185771199187659	0.373697788274765	-0.497116132384141	0.619107158936743	0.767953286350774	0.208234174070203	non-sig	68488
1110002L01Rik	1889.76547818495	-0.00294635582527716	0.187448110955129	-0.0157182476273792	0.987459169293885	0.993343488809332	0.00548085308577236	non-sig	100043040
1110002O04Rik	2.58328064759462	0.0713295313174519	1.23901612244323	0.0575694940730848	0.954091549560048	0.975911466910136	0.0204099507035205	non-sig	68483
1110004F10Rik	3049.8340075695	-0.01210775144996	0.0749477156912663	-0.161549305916617	0.871660780794334	0.930830123245907	0.0596524940714425	non-sig	56372
1110006O24Rik	51.7843353369385	0.200726729915654	0.316233161559161	0.634742823700043	0.525596159103038	0.693748691446319	0.279347817128738	non-sig	66123
1110008P14Rik	261.9448103783	-0.00141811971035843	0.194953635583743	-0.00727413831556514	0.994196128528372	0.996462501764541	0.00252793236784912	non-sig	NA
1110012L19Rik	588.734134999833	0.0554851084810383	0.135738668504407	0.40876420177377	0.682712713268973	0.813870289981282	0.165762009772969	non-sig	NA
1110013H19Rik	56.1337001320713	-0.511054780100902	0.23361880052316	-2.18755844545242	0.0287017815502564	0.0841136627696044	1.54209114530669	non-sig	68522
1110017D15Rik	38.1970208560024	0.677221879864867	0.417705976065709	1.62128846286445	0.104955788165868	0.228036017019498	0.978993605683963	non-sig	NA
1110018N20Rik	26.0264472400869	-1.17839453027809	0.479162594150936	-2.45927905195975	0.0139216360784287	0.0471041001327218	1.85630972319669	down	68941
1110019B22Rik	5.88861119123106	0.530731536496455	0.94265471873248	0.563017959757409	0.573422654421088	0.73249509997118	0.241525153217724	non-sig	68529
1110019D14Rik	2922.89369981092	0.286666280039582	0.11109272210553	2.58042358316928	0.00986791932866871	0.0358404964262341	2.00577440957318	non-sig	76311
1110020A21Rik	165.012012666028	-0.534743999817325	0.265912646633814	-2.01097618555058	0.044327972199889	0.118629816704041	1.35332213521412	non-sig	68531
1110025M09Rik	74.3842701892709	0.542114712002401	0.201596757694854	2.68910431993638	0.00716440260452649	0.0275348988847202	2.14482001690294	non-sig	68635
1110028F18Rik	3.03802480450374	1.676394298999	1.22691307623511	1.36635131817419	0.17182872083564	0.326724872533506	0.764904242961516	non-sig	68692
1110032A03Rik	1612.55923927504	-0.340427052188764	0.127883535762065	-2.66200844510703	0.00776759296030371	0.0294829591847534	2.10971354053126	non-sig	NA
1110032F04Rik	0.224585365866864	-1.79837599154507	3.62460120165661	-0.496158305835997	0.619782725073333	NA	0.207760532823876	non-sig	68725
1110035H17Rik	5.59778975668965	0.697513762335529	0.869951255096796	0.801784879611352	0.422677406590166	0.604666094643695	0.37399096592887	non-sig	68686
1110038B12Rik	784.566753623125	0.403219222460931	0.141375372412517	2.85211784471474	0.00434289970441105	0.0182421401167393	2.36222020018504	non-sig	68763
1110038F14Rik	610.509288601209	0.10402380201323	0.0998063785764946	1.04225605113508	0.297292982377025	0.479979897171933	0.526815342227638	non-sig	117171
1110051M20Rik	1598.21359607641	0.660903335180554	0.125895470864569	5.24961963001444	1.52413593410243e-07	2.72810178819134e-06	6.81697629756473	non-sig	NA
1110059E24Rik	4783.06941904269	-0.136213231469491	0.113813538149043	-1.19681044702357	0.231380445387243	0.403406051215163	0.635673347282571	non-sig	66206
1110059G10Rik	784.589421128055	-0.0244567399835978	0.170444252950604	-0.143488205440905	0.885904625557181	0.937697557024573	0.0526130307357187	non-sig	66202
1110065P20Rik	389.730647637024	0.0183090105474899	0.153877277269957	0.118984497726518	0.905287637548346	0.947877869898586	0.0432134102394627	non-sig	68920
1190001M18Rik	5.59783248250496	1.63147924902325	0.991742039063304	1.64506412430008	0.0999565879584968	0.219661051436966	1.00018857703626	non-sig	68924
1190007I07Rik	593.967705192813	-0.347017686936342	0.149067161861397	-2.32792844918454	0.0199159033132084	0.062799109912636	1.7007999907839	non-sig	NA
1190028D05Rik	1.83275886719012	-0.402581222164075	1.38013828364704	-0.291696293722284	0.770518843231359	0.870191056544625	0.113216736035329	non-sig	330767
1300014J16Rik	367.805829871237	-0.970347181966663	0.187619273546878	-5.17189499576766	2.31731801216606e-07	3.94948475109019e-06	6.63501436264862	non-sig	74160
1300017J02Rik	48420.8855659887	-0.621689740459866	0.154987400860348	-4.01122760307492	6.04038424871455e-05	0.000496662944244866	4.21893543359932	non-sig	NA
1500002C15Rik	24.2121682158446	-0.160254791534517	0.361712003206074	-0.443045268373958	0.657732991916807	0.797101862613029	0.1819503733634	non-sig	102636313
