geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Igkv16-104	79.1698776310351	-10.4369325957751	1.04154242690883	-10.0206504566028	1.23686224304837e-23	1.62004854072187e-22	22.9076786677237	down	381778
Igkv3-5	115.370970238779	-10.3508192612856	1.03386314446159	-10.0117886170283	1.35284229804031e-23	1.76729912490664e-22	22.8687528265233	down	667940
Igkv12-41	56.9682297881942	-10.0497688147195	1.04655401929576	-9.60272344229504	7.78594386837846e-22	9.53297792439123e-21	21.108688731589	down	619960
Ighv2-9	58.0914876044615	-9.7941220821165	1.06328628526808	-9.21118067430655	3.22557202979716e-20	3.69531036442787e-19	19.4913932554924	down	640046
Saa3	1636.99062357583	-9.70053659611951	0.277454861816164	-34.9625756514834	8.3400636306899e-268	8.12142925233396e-266	267.078830635891	down	20210
Igkv4-72	42.1219595119003	-9.65556243151628	1.05804650724975	-9.12583933253992	7.11825118601469e-20	8.03560327547996e-19	19.1476266908509	down	385109
Ighv5-16	45.7127141454723	-9.6223816484667	1.05655280693532	-9.10733622144057	8.44294164881055e-20	9.4898846288869e-19	19.0735062122295	down	633568
Ereg	68.7294763398197	-9.5514138202523	1.04265300572824	-9.16068314940606	5.15698047236558e-20	5.86286503347661e-19	19.2876045131075	down	13874
Igkv8-21	43.4290973397612	-9.51807007851279	1.05939945170063	-8.98440155243956	2.60146149533963e-19	2.86683533058607e-18	18.5847825977846	down	620400
Cd300e	429.392623784633	-9.50324305982459	0.518402688234301	-18.3317781244403	4.61566551329828e-75	1.42076593252028e-73	74.3357656710378	down	217306
Ighv9-3	32.1246363930215	-9.38607546020431	1.06976884691546	-8.77392858024219	1.72538684474247e-18	1.83632974757856e-17	17.7631135175753	down	780825
Ighv1-31	39.4545072597516	-9.31738067033809	1.06748042727996	-8.72838548813453	2.58333830319224e-18	2.73131338915388e-17	17.5878187167113	down	629893
Ip6k3	51.8476802235036	-9.30000533857445	1.05120457177119	-8.84699856556437	8.99045479946375e-19	9.73763448887864e-18	18.0462183380886	down	271424
Igkv5-48	27.287702176314	-8.8117566069607	1.08810431153214	-8.09826458141039	5.57487195988343e-16	5.33646103684018e-15	15.2537651027649	down	619846
1700011B04Rik	18.9420232083719	-8.80935073461547	1.12069064823808	-7.86064445925852	3.8216209832719e-15	3.52228039232212e-14	14.4177523871491	down	100503727
Gm48370	17.7809607139119	-8.71943575581686	1.12519445665223	-7.74927009661927	9.24222465109209e-15	8.38114532219791e-14	14.0342234792772	down	NA
Ighv1-55	32.3952133566241	-8.67455429144377	1.06870972357343	-8.11684791492191	4.78447731965875e-16	4.60100243951863e-15	15.320165499807	down	780932
Igkv12-38	29.4246451047502	-8.64620062891449	1.10727359937688	-7.8085494260679	5.78499086088631e-15	5.28743090131622e-14	14.237697322809	down	620050
Igkv12-89	19.4940973025499	-8.51395999495051	1.094866356445	-7.77625501489982	7.4703042032781e-15	6.80094667069079e-14	14.126661712627	down	384411
Ighv1-36	22.7183166347585	-8.4050795011227	1.10716164498528	-7.59155588453795	3.16086789130451e-14	2.78164383390602e-13	13.5001936551495	down	629897
Dupd1	65.2007751736994	-8.38111421642289	0.865133057799361	-9.68765918822006	3.40237027107929e-22	4.22035679041794e-21	21.4682184250162	down	NA
Igkv8-27	26.377341252774	-8.36446622415012	1.13086836236249	-7.39649856918446	1.39822310762663e-13	1.19172070919555e-12	12.8544235248134	down	434041
Igkv6-20	17.9447253180025	-8.35906834570035	1.10812299050233	-7.54344817077667	4.57704793629391e-14	3.99753151485452e-13	13.3394145391001	down	108024
mt-Te	53.4385041008637	8.28851874594421	3.36888834670165	2.46031268862299	0.0138816012568754	0.035979936392043	1.85756043467979	up	17729
Igkv9-120	42.8029168935674	-8.23912084631968	1.03342528592729	-7.97263329871663	1.55328552020249e-15	1.45609163092667e-14	14.8087487062476	down	434025
Ighv7-3	16.4890445401923	-8.19402135795098	1.11499682336161	-7.34891901597244	1.99816198886522e-13	1.68923722863945e-12	12.6993693068915	down	629822
Ccl17	142.813600452606	8.16058688793155	0.629203461625897	12.9697107305229	1.81714812061982e-38	3.47727728977011e-37	37.7406096707404	up	20295
Ighv5-4	11.8747437838772	-8.13460651678739	1.17978337049204	-6.89500015023503	5.38647462539086e-12	4.23420387470842e-11	11.2686953816882	down	777688
Ighv1-39	15.9807420910841	-8.13310219006682	1.1193044178472	-7.26621110431201	3.69710664125988e-13	3.08917423004069e-12	12.4321380222311	down	780891
Igkv1-135	15.9487005292631	-8.1278248048852	1.11560759704941	-7.28555885275603	3.20339592387302e-13	2.68958773801732e-12	12.4943893813715	down	243420
Igkv4-86	11.671968761215	-8.11522986527479	1.16971727988951	-6.93777035254307	3.98336535937274e-12	3.14787071384029e-11	11.3997498577176	down	243451
Ighv3-8	11.4613019988822	-8.09043687775957	1.16871214260132	-6.92252316276261	4.43669222024639e-12	3.50080383103804e-11	11.3529406978746	down	780831
Igkv14-126	57.5973897418942	-8.04505103644546	0.864904277905785	-9.30166637159565	1.38261516984328e-20	1.61232890455311e-19	19.8592986824145	down	628127
Akr1c18	18.7930782212894	-7.9940740230564	1.71551868831607	-4.65985831428235	3.16427118114031e-06	1.57000588437578e-05	5.49972630411681	down	105349
Saa2	198.107472953208	-7.98462465272276	0.480187290895618	-16.6281465672077	4.35870014376433e-62	1.16300835206024e-60	61.3606430071897	down	20209
Igkv8-24	37.956788888299	-7.7838248103027	1.04476422734786	-7.45031712088955	9.31161341544857e-14	8.01837652746003e-13	13.0309750626579	down	677858
Igkv5-39	9.1098639241803	-7.75948773499229	1.2023054126154	-6.45384080748078	1.09050363703992e-10	7.96251061397158e-10	9.96237288162702	down	620017
Ighg2b	4373.55395012003	-7.73235883072303	0.0947925567452977	-81.5713711731549	0	0	Inf	down	16016
Ighv14-4	8.85377971172521	-7.71906744167193	1.20618173829369	-6.39958904749432	1.5579569885333e-10	1.12612784197175e-09	9.80744453633001	down	629826
Ighv2-2	45.5467026932208	-7.62174155217163	0.80304227276933	-9.49108385774971	2.2864437436974e-21	2.74782013696137e-20	20.640839479655	down	777686
