geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Saa2	631378.256417046	-6.94691602873592	1.18928447098058	-5.84125682142989	5.18084631372225e-09	2.96810685313148e-05	8.28559929057185	down	20209
Saa1	602733.238259283	-5.98859649617934	0.8437299904187	-7.09776417122201	1.2679129449077e-12	1.08958098920643e-08	11.8969105641547	down	20208
Rgs16	1105.67268742828	4.89780746966806	0.9330788081742	5.24908231412075	1.52858766373785e-07	0.00065679590441656	6.81570964965239	up	19734
Xlr4a	106.73117447277	4.50389574181478	0.429491855121049	10.4865684601758	9.95795028699089e-26	1.71147291582513e-21	25.0018300461806	up	434794
Spock1	27.1758308629295	-2.75535966918892	0.69913397711323	-3.94110393628126	8.1107470161987e-05	0.0422422451416385	4.09093914454687	down	20745
Gm15348	827.576563537842	-2.32807272723681	0.532463657162638	-4.37226596767657	1.22963598217703e-05	0.0150955383040547	4.9102234367963	down	100038554
Atp11a	1904.77640618509	-2.24107440245681	0.492690894937688	-4.5486418066245	5.39932544675738e-06	0.00843620058667446	5.26766049444557	down	50770
Cyb561	1045.46533832661	-2.23270668930026	0.501721575115457	-4.45009104658588	8.58338930763862e-06	0.0122935593358654	5.06634118919651	down	13056
Myom3	413.157132884343	-2.17861906681473	0.50570350336443	-4.30809565747607	1.64666171581657e-05	0.0176882343185871	4.78339561154305	down	242702
Dnajc12	3019.89289538586	-2.17731190810529	0.515719896250918	-4.22188851726199	2.42263932532481e-05	0.0231321678246431	4.61571123740214	down	30045
Msln	111.049320628151	2.15025404720173	0.522282912032741	4.11702929133346	3.83787311645486e-05	0.0263846101010039	4.4159093875303	up	56047
Per1	1217.50303233673	2.09546085545693	0.441941424705394	4.74149002179148	2.12152108318829e-06	0.00455782285709463	5.67335264795731	up	18626
Gadd45b	365.127801950972	2.06071824033732	0.495332350168563	4.16027388406198	3.17866180813374e-05	0.0248325729529066	4.49775567613505	up	17873
Gm45301	368.690130324195	2.00640664414879	0.427281145501174	4.69575282053554	2.6562659763136e-06	0.00507258259276687	5.57572844050059	up	115486922
Gm15890	308.105135772412	1.9992805867335	0.452274849988224	4.42049914291178	9.84731763041172e-06	0.0130189113933759	5.00668205345756	up	NA
Cyp2c69	447.667675667782	1.91017557696828	0.484406643978499	3.94333067209761	8.03577347753962e-05	0.0422422451416385	4.09497231418874	up	100043108
Loxl4	1779.35258639165	-1.87642818775356	0.375106966065061	-5.00238160713896	5.6626358366425e-07	0.00162206203540624	6.24698136689581	down	67573
Dio3os	112.689312564686	1.85960151023513	0.363798792675799	5.11162089504875	3.19406314594102e-07	0.00109792726578577	6.49565650220422	up	353504
Gdf15	7419.5588634133	1.77151623184741	0.42530216476375	4.16531205015489	3.10926985692082e-05	0.0248325729529066	4.50734158342943	up	23886
Cd19	124.355595694598	1.76415225837053	0.432726190559802	4.07683264118659	4.56533273085848e-05	0.0295282476628757	4.34052756469927	up	12478
Gm17040	67.2679728708377	1.62542730474463	0.399061989916322	4.07311983054427	4.63875421479981e-05	0.0295282476628757	4.33359863804042	up	100416276
Serpina4-ps1	43039.4011906242	1.59285755485614	0.3963440356717	4.01887605589084	5.84764200872976e-05	0.0346563528289787	4.23301922264256	up	321018
Cyp3a61-ps1	157.539456612146	1.55292020786838	0.372446421918181	4.16951302651937	3.0525116942558e-05	0.0248325729529066	4.51534266358585	up	100125874
Atf3	381.192929784605	1.53858295879019	0.366949293078577	4.19290345508507	2.75406673020891e-05	0.0248325729529066	4.56002554112688	up	11910
Angptl4	12592.7762822683	1.53626279831304	0.319573542797464	4.8072277350152	1.53037626798657e-06	0.0037575109882693	5.81520177766607	up	57875
H1f3	138.390058975058	-1.52431199336493	0.357478578874385	-4.26406527116848	2.00740762372952e-05	0.0202948910759055	4.69736443082019	down	14957
Jun	8054.51690040606	1.50683431424827	0.379921839304285	3.96616924419928	7.30370100855056e-05	0.0418429030779862	4.13645701381363	up	16476
H2-Ea	482.223072429962	1.50430653955858	0.323568001108726	4.64912022945404	3.33353863712479e-06	0.00572935285562638	5.47709450685225	up	100504404
H2-Eb1	1501.65170814322	1.41632178271044	0.341735715221533	4.14449447226287	3.40564170863604e-05	0.024949358722006	4.46780104402673	up	14969
H2-Aa	1977.77865010482	1.40852283075564	0.361490193739326	3.89643441274463	9.76192274484744e-05	0.0466050461710258	4.01046463364111	up	14960
Gas6	3482.50113023774	-1.21573964053977	0.310756372914418	-3.91219536107336	9.14608752946199e-05	0.0449125161053895	4.03876464667057	down	14456
S1pr5	1103.38276471956	-1.21278568644097	0.279521265750427	-4.33879577349872	1.43265577547554e-05	0.0164153698753988	4.84385814510136	down	94226
Slc25a47	71091.7115983138	1.17346679778912	0.289243874118171	4.05701521377664	4.97038454371563e-05	0.0305092854117287	4.30361000990787	up	104910
Platr22	413.474204777859	-1.1375955050252	0.274829161373793	-4.13928237941958	3.48393907795511e-05	0.024949358722006	4.45792944790641	down	100503474
Gm31583	12375.242558027	1.12762925515238	0.285122534912118	3.95489348290181	7.65687575733783e-05	0.0422422451416385	4.11594839983572	up	102633856
