geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Cyp1a1	62900.5170449454	11.2972238774547	0.291855738247514	38.7082465648622	0	0	Inf	up	13076
Nptx1	218.881934936445	7.72759931424673	0.517261358979396	14.939448269428	1.82479804009823e-50	2.70914079028083e-47	49.7387851941798	up	18164
Gm41333	179.03025917508	5.8010821760786	0.376785976458584	15.3962263420816	1.73503626328916e-53	2.94386081415505e-50	52.7606914437654	up	105245962
Ahrr	35.3231064686954	4.17864086796493	0.557629287556685	7.49358213639407	6.70188602466127e-14	3.10017622274311e-11	13.1738029622485	up	11624
Cyfip2	483.476558244961	3.80420610109211	0.181864427952058	20.9178130321063	3.68635452505353e-97	1.09457081735152e-93	96.4334029000257	up	76884
Cyp1a2	211883.660862071	3.56503380414379	0.111560251770478	31.9561290653811	4.44080737458584e-224	2.6371734593978e-220	223.352538064468	up	13077
Cyp1b1	65.5486280952672	3.37637159693783	0.436495670645936	7.73517774401153	1.03258737143784e-14	5.84001914788916e-12	13.9860731906857	up	13078
Tuba8	281.822684092471	3.02101005575871	0.277814100218306	10.8742142799261	1.5296802380298e-27	1.816801218708e-24	26.8153993439359	up	53857
Hrk	35.5022196841902	2.92475520120701	0.595913502966712	4.90801968179329	9.20006238373546e-07	0.000170733032705666	6.03620922778268	up	12123
Pcp4l1	901.545753085974	2.8364474569597	0.148680020803214	19.0775293253011	3.88179797560177e-81	9.22082291124444e-78	80.4109670707932	up	66425
Osbpl3	152.943084743408	2.77807061640514	0.358144049827274	7.7568526344217	8.70629960059212e-15	5.44235370295961e-12	14.0601663920092	up	71720
Myc	445.012659284103	2.58453080680909	0.732808890350952	3.52688243939197	0.000420483418177578	0.030451716815214	3.37625112599204	up	17869
Cyp2c69	95.665215006083	-2.49734472943572	0.462832540876216	-5.39578467129352	6.82247282579484e-08	1.65368387248909e-05	7.16605818546838	down	100043108
Slc46a3	6565.63747678653	2.26536169593607	0.0731322233574588	30.9762453804166	1.12629009719199e-210	4.45898249478311e-207	209.948349734367	up	71706
Tnfaip8l3	66.3788638698606	2.17440536527143	0.482224986820816	4.50910969920228	6.51002423893934e-06	0.00101736260376161	5.18641739440907	up	244882
Psat1	73.0159219226063	2.14659366181258	0.381038764113588	5.6335309264563	1.76556838305675e-08	4.76583083762841e-06	7.75311545691195	up	107272
Vtcn1	107.810608273952	2.02807128077422	0.263153057939085	7.70681251685734	1.28999094734111e-14	6.96419203707741e-12	13.8894133374012	up	242122
