geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
Ly6g5b	9.53259855763485	6.11877434306579	1.36117919187371	4.49520120465776	6.95041940584567e-06	0.00295098768542809	5.15798898819423	up	266614
Fxyd4	7.84087729776638	5.83265667300186	1.39977352766122	4.16685739352939	3.08827555802809e-05	0.009603232080302	4.51028395574827	up	108017
Gm12718	7.6986173889175	5.80529665673086	1.38121384996275	4.20303970807086	2.63354368567832e-05	0.00842657644817478	4.57945947309474	up	622167
Tlr6	7.33510559944407	5.754015304817	1.49835437380215	3.84022325120319	0.000122922474433272	0.0240166583233432	3.9103687059661	up	21899
1700063A18Rik	6.21530020210299	5.50143232271317	1.45470161953893	3.78182869175389	0.000155680486580482	0.0276754492045762	3.80776581968307	up	73454
Gm10165	6.15289077993818	5.49233427821659	1.47199451460427	3.73121925640677	0.000190555285305799	0.0318718150680411	3.71997900098622	up	791391
Ticam2	5.87899867671228	5.42342764349692	1.38485450682524	3.91624363192496	8.99393605032456e-05	0.0194159397289348	4.04605020472559	up	225471
4930432E11Rik	5.54361015518354	5.34996418494994	1.43605341981807	3.72546321126947	0.000194956885645038	0.0323628430170763	3.71006142144119	up	243900
Gm36560	5.40482933161917	5.30411378791977	1.45517656255638	3.64499671338972	0.000267395218784405	0.040503976772074	3.57284636249705	up	102640519
4930423D24Rik	5.32864457173681	5.29517605139101	1.46796468674263	3.60715492628153	0.000309572835437792	0.0451020333164984	3.50923715502099	up	73892
Sec14l3	5.18815003958291	5.23596484816964	1.43142826404262	3.65786045986146	0.000254329438768211	0.0398233003484012	3.59460336709673	up	380683
Gm34066	5.09749521258141	5.21412542101594	1.40263019084833	3.71739140868084	0.000201290461752865	0.0328950193501304	3.69617680388055	up	102637189
Gm7594	5.02226261400052	5.18709374949315	1.44226388566462	3.59649423455047	0.000322534728842208	0.0456469342524248	3.4914235159667	up	665342
Kcnk18	4.8590046324264	5.15445753632818	1.40463953860911	3.66959450780673	0.000242935513370515	0.0383109304585303	3.61450899349675	up	332396
Edn2	12.0538931993071	4.55989195161222	1.14793338540238	3.97226181379319	7.11934090972601e-05	0.0168254651341311	4.14756021036852	up	13615
Yipf7	15.642174906068	3.89921964743232	0.882963162464568	4.41606152237274	1.00515487254544e-05	0.00404858780493272	4.99776701773609	up	75581
Cd5l	19.320324093012	3.58981566330435	0.784016725277573	4.57874882966739	4.67765478553606e-06	0.00215152629906386	5.32997183260573	up	11801
4930412F09Rik	12.1869768988324	3.51969418173288	0.919850826804149	3.8263749720826	0.000130044151792687	0.0247509895110255	3.8859091736586	up	102633576
4930435C17Rik	13.2738041253381	3.36752600857913	0.866350332971829	3.88702569897741	0.000101480014044028	0.0209390257015331	3.9936194813474	up	78162
Foxs1	12.1560358614001	-3.19783656920005	0.726073101176285	-4.40429009698795	1.06130844548725e-05	0.00418420854633347	4.97415837980694	down	14239
Atp10d	41.6319002347692	3.09877494007257	0.54046241306179	5.73356234435917	9.83428941790742e-09	1.14274443036084e-05	8.00725701480215	up	231287
4930590J08Rik	18.9567197404794	3.08278822285752	0.829662943112858	3.71571160125705	0.000202632604022906	0.0328950193501304	3.69329067443473	up	381798
Umodl1	12.8209984423636	2.95230343702715	0.824619565528367	3.58020056816805	0.000343330574196898	0.0479750152982222	3.46428752015782	up	52020
D130052B06Rik	25.8086594319274	2.70163451711648	0.656527562451828	4.11503594308686	3.87119086550505e-05	0.010902456017395	4.41215541566318	up	216644
Hba-a1	314.306658531671	-2.65923260002632	0.594253507666248	-4.47491275309363	7.64425206933201e-06	0.0031843357959757	5.11666500051355	down	15122
4930448H16Rik	15.5624854060499	2.64006042683673	0.718434267069839	3.67474179315572	0.000238090075073362	0.037816925737192	3.62325870804204	up	74872
Cybb	19.4992737464437	2.60327933951951	0.628810032579476	4.14000923115119	3.47291845861979e-05	0.0105034374971792	4.45930541346068	up	13058
Cbln4	43.821316158438	-2.39216425336062	0.456192396940442	-5.24376177552325	1.57335317417219e-07	0.000128198726031863	6.80317377936153	down	228942
H1f5	13.756570721409	-2.39060890838308	0.663785186683865	-3.60147975028801	0.000316411071792874	0.045361841837942	3.49974832816292	down	56702
Hbb-bs	557.39141739809	-2.38970297568646	0.467952603597313	-5.10672011933686	3.2779871172516e-07	0.000233456127660261	6.4843927575738	down	100503605
Hba-a2	127.722975222479	-2.38021889722314	0.603702551712279	-3.94270140232494	8.05689413091388e-05	0.0179676877396279	4.09383234302866	down	110257
Ccl17	22.8238033542775	-2.33875047485555	0.636305746917397	-3.67551367591084	0.000237371324082193	0.037816925737192	3.62457174766064	down	20295
Gja1	314.932708324844	-2.27100319612998	0.272657347396522	-8.32914725319064	8.14267347908864e-17	1.79773945071319e-12	16.089232980051	down	14609
Inha	513.026583815466	-2.22624848228533	0.302856710233964	-7.3508309608379	1.96978403028204e-13	2.17444459102835e-09	12.7055813878478	down	16322
Defb19	166.156665041956	-2.15815692295269	0.321348498274858	-6.71593903359945	1.8685891371161e-11	6.87578516154154e-08	10.728486180215	down	246700
Cst9	145.38240700318	-2.14756632285939	0.342994428790022	-6.26122800430124	3.81957573450838e-10	8.43285930664761e-07	9.41798487436441	down	13013
Dhh	20.7190467116623	-2.10274003323264	0.510884306885604	-4.11588299912973	3.85699937053481e-05	0.010902456017395	4.41375043201114	down	13363
Hbb-bt	85.3122739901695	-2.09387588967543	0.367334818310667	-5.70018355271885	1.19678496278893e-08	1.25821992421209e-05	7.92198387621325	down	101488143
Gstm2	427.292372468099	-2.08724527927686	0.309245274695908	-6.74948156064574	1.4837436423947e-11	6.55161842735805e-08	10.8286411289161	down	14863
Shbg	34.2833902445601	-2.0627991114262	0.442619332269156	-4.66043609268251	3.1554012357479e-06	0.00159798886248422	5.50094540872038	down	20415
Amh	117.80934647772	-2.03868504779446	0.348605954562685	-5.84810735763799	4.97197634706767e-09	6.09840521058667e-06	8.30347094607271	down	11705
Hsd17b1	84.0121158467463	-2.01005141011118	0.338570758653895	-5.9368724520181	2.90510495832168e-09	4.27592715132174e-06	8.53683817239706	down	15485
Cstdc1	20.4172563975052	-1.9760882677545	0.527120549175883	-3.74883557630977	0.000177657507152715	0.0301717110993665	3.75041643609971	down	78609
Gpr37	49.350634097142	-1.96360109374726	0.408181322202213	-4.81060986120893	1.50470469396766e-06	0.000874233427195208	5.82254872423249	down	14763
BC053393	21.6617852772531	1.9520915860392	0.545791465294523	3.57662534166927	0.000348058464631417	0.0483297785039776	3.45834779992068	up	NA
Gcm2	28.5329408902487	1.94378888943845	0.44023661319889	4.41532764690856	1.00857110821315e-05	0.00404858780493272	4.9962934769099	up	107889
Gm45889	22.9885619202997	-1.94210026403924	0.493758640391624	-3.93329879250087	8.37879784047997e-05	0.0184987098722117	4.07681828789693	down	115485609
Kctd14	219.840951751088	-1.90366998586586	0.305768587767229	-6.22585203982779	4.78945908919781e-10	9.61287979739175e-07	9.31971353206382	down	233529
Ptgds	232.285855655683	-1.84815721255746	0.30911996039943	-5.97877021648607	2.24828428406372e-09	3.54554431596849e-06	8.64814877531196	down	19215
Aldh1a1	228.230166175244	-1.84163011703305	0.272427451676728	-6.76007540979529	1.37919936189695e-11	6.55161842735805e-08	10.8603729524508	down	11668
Hoxa10	28.488829231098	-1.78527061388551	0.465599411831226	-3.83434894572559	0.000125897311278554	0.0241700942470254	3.89998354478774	down	15395
Smpx	28.8504747698249	-1.78426794072265	0.472959892087493	-3.77255655410328	0.000161583325143834	0.0283129893057584	3.79160345898019	down	66106
Wnt6	109.612229332743	-1.76696287544605	0.308808380351943	-5.72187475428056	1.05354964778616e-08	1.16301345619114e-05	7.97734499375164	down	22420
Serpina5	74.565413712378	-1.75928669874716	0.386948280162868	-4.54656807883128	5.45277376795396e-06	0.00245686406630383	5.2633825205357	down	268591
Erbb2	118.146832153887	-1.74262600513225	0.271395614234802	-6.4209807149816	1.35399182511243e-10	3.73667893935403e-07	9.86838395774783	down	13866
Hnf4a	40.0656872139656	1.73962507039619	0.46214255316891	3.76426074263792	0.000167042516382058	0.0289172146789316	3.77717297627715	up	15378
Aard	168.010413680909	-1.73904426289867	0.311543494400415	-5.58202721018318	2.3773117255423e-08	2.28201253376187e-05	7.6239138675749	down	239435
Gm19324	35.7408247662173	-1.72879451823735	0.454106399023996	-3.80702523010692	0.000140648401352087	0.0265404735474477	3.85186519977971	down	100502693
Lpl	105.762157506751	-1.69737230920884	0.309776098488388	-5.47935207878042	4.26886160584818e-08	3.62492025130446e-05	7.36968792455673	down	16956
Fsip2	53.305881676701	-1.69337955232224	0.416642746031276	-4.06434425764638	4.81676886550455e-05	0.0125111321191305	4.31724419297232	down	241516
Sox9	122.264841443198	-1.6668455876311	0.29560612552742	-5.63873831997601	1.71300620285042e-08	1.71907958847871e-05	7.76624106443739	down	20682
Rfx2	92.0670802622463	1.66577768837616	0.258513010200597	6.44368996006651	1.16603164283241e-10	3.67766380149341e-07	9.93328966388143	up	19725
Gstm1	607.691652295283	-1.64949596356643	0.230375594492366	-7.16002911333168	8.06599291744416e-13	5.93603305437774e-09	12.0933421636719	down	14862
Gm35533	29.7358732265843	-1.62691144830381	0.432303863738611	-3.76335162548422	0.000167651212922513	0.0289172146789316	3.77559330019133	down	102639153
Mapkbp1	69.7318003412667	1.62092783778685	0.27481826049832	5.89818098276172	3.67530725355935e-09	5.07146459650521e-06	8.43470634829475	up	26390
Rhox8	42.9161588336627	-1.6086527517658	0.423758026461617	-3.79615877768279	0.000146955397463802	0.0272645484471077	3.83281445827665	down	434768
4932431P20Rik	42.3381711615473	1.56883021581806	0.415010553517485	3.78021764150623	0.000156691328497691	0.0276754492045762	3.80495503728896	up	114675
Trim62	156.716148354691	-1.56824425021621	0.253127234217951	-6.19547815572423	5.8108351535771e-10	1.06909682100563e-06	9.23576144479996	down	67525
Sox8	49.8511989487484	-1.54869007415407	0.383842489841266	-4.03470203310351	5.46716315507314e-05	0.0138740262227247	4.26223796538215	down	20681
Sh3bp2	68.0132296082026	1.54086475105247	0.340770989300602	4.52170166895645	6.13444767883829e-06	0.00265561442849788	5.21222453331691	up	24055
Atf3	93.6220849502766	1.54084610187354	0.370516017791626	4.15864909446397	3.20135248874256e-05	0.00981659170089699	4.49466650471005	up	11910
Akr1cl	146.60554090291	-1.53293198342586	0.299126784611342	-5.12468980475153	2.98027990560126e-07	0.000219328732519548	6.52574294540381	down	70861
Plp1	62.6562751241531	-1.49509499249943	0.363192347773599	-4.11653770148103	3.84606439954717e-05	0.010902456017395	4.41498344809187	down	18823
Sema6c	82.9358915916233	-1.49376556606522	0.415100052438977	-3.59856751953752	0.000319974782855642	0.04557679519927	3.49488424698691	down	20360
Trim47	267.72449755669	-1.47954312892711	0.232185696889835	-6.37224061923635	1.8628630869311e-10	4.56981013702943e-07	9.72981906285756	down	217333
Mro	117.380503359516	-1.47387665681894	0.318257368213727	-4.63108416025471	3.63755966432449e-06	0.0017846676059768	5.43918987452167	down	71263
Pnmt	49.8032153468022	-1.44733744076374	0.365068736530634	-3.96456145359981	7.3531002693826e-05	0.0170886050260452	4.13352951180024	down	18948
1700016P03Rik	57.115408962504	1.44250210485104	0.362319729074061	3.98129604627791	6.85405182035517e-05	0.0166289841856925	4.16405261639153	up	118567915
Wls	52.2726029579535	-1.4309771969025	0.356073923435959	-4.01876437087612	5.85041410394062e-05	0.0146778912030456	4.23281339260306	down	68151
Jam2	127.123617157055	-1.4057138414233	0.279290715237458	-5.0331563662191	4.8246927166822e-07	0.000322786563026999	6.31653034153241	down	67374
Sema4f	38.193197551403	1.39918956298157	0.369137363900351	3.79043060880525	0.000150386342789761	0.0276353911970872	3.82279160204463	up	20355
Mcrip2	61.7043830993964	-1.38105979516252	0.338019404028924	-4.08574116959377	4.3936336269735e-05	0.0116870654477495	4.35717616052829	down	68241
Hsd17b3	89.2163334292832	-1.36568363106967	0.348653823603416	-3.91701894146756	8.96507071994997e-05	0.0194159397289348	4.04744628020521	down	15487
Ucp2	219.326089773739	-1.34951110029122	0.287033504217628	-4.70158040947032	2.58155564370542e-06	0.00139013623174947	5.58811850958876	down	22228
Nedd9	114.977532476397	-1.33374210935151	0.306617636798511	-4.34985450699288	1.36227886729018e-05	0.00493055620197257	4.86573398043468	down	18003
Gstm2-ps1	47.7312581913712	-1.32682988304342	0.315381493281026	-4.20706322758489	2.58710775803984e-05	0.00839973015911818	4.58718548170192	down	433943
Sparc	1000.85313869402	-1.3237332683672	0.220886110758079	-5.99283161727171	2.06218345637096e-09	3.50222202690446e-06	8.68567270154257	down	20692
Cst12	109.13783490654	-1.31060626387083	0.270277428365868	-4.84911474774243	1.24013670993715e-06	0.000760548285610899	5.90653043653239	down	69362
Pak3	143.963422342104	-1.2880227875754	0.245913575297217	-5.23770510033317	1.62585575183086e-07	0.000128198726031863	6.78891798823939	down	18481
Mgst1	114.655583505519	-1.28443909737141	0.219126530999533	-5.86163205118303	4.58339767597851e-09	5.95248552295609e-06	8.33881245979856	down	56615
Tspan15	186.155521583851	-1.25034534911139	0.265516673599241	-4.70910294318693	2.48809392597547e-06	0.00137330344244216	5.60413322898005	down	70423
Ldhb	289.716743504648	-1.24329002901426	0.224124800134028	-5.54731126707426	2.90096029039713e-08	2.66864172047449e-05	7.53745821596791	down	16832
Paqr4	71.0457053936478	1.2387228713922	0.322308741859002	3.84328040327898	0.000121400627748243	0.0239310987448724	3.91577906756971	up	76498
Tmsb4x	165.979910153736	-1.22923836971998	0.267716647767314	-4.59156492497385	4.39934738189377e-06	0.00206657003186065	5.35661174384649	down	19241
Kndc1	72.0294408246747	1.20823305715601	0.277099971729597	4.36027852913331	1.29896994764081e-05	0.00477977641733564	4.88640089644409	up	76484
Gata4	286.848330334191	-1.17786235056507	0.23108768639229	-5.09703640619582	3.45011997442651e-07	0.000238036714985589	6.46216580251355	down	14463
Ctss	62.1613681870609	-1.17217469623498	0.295199846585335	-3.97078355491669	7.16366393064737e-05	0.0168254651341311	4.14486479642559	down	13040
Echs1	90.5307126404379	-1.14978739625514	0.318821460628907	-3.60636763280321	0.000310513138151452	0.0451020333164984	3.50792001962277	down	93747
Clu	1470.23555129545	-1.14948086328838	0.209770841627173	-5.47969800937043	4.26052400880317e-08	3.62492025130446e-05	7.37053698302492	down	12759
Anxa5	192.402134278362	-1.13523456764765	0.283362247062699	-4.00630140188173	6.1676937416573e-05	0.015300038475091	4.20987719942053	down	11747
Stk11	432.590095893864	1.11960481819842	0.294918368742958	3.79632107342298	0.000146859270930144	0.0272645484471077	3.83309863213938	up	20869
