geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(P.Value)	trend	ENTREZID
0610005C13Rik	3156.2030807541	-0.0733246552956342	0.0975244532269025	-0.751859178590168	0.452135749173606	0.99943455382001	0.344731153096148	non-sig	71661
0610009B22Rik	546.131335097679	-0.142115583712119	0.13287825270839	-1.06951725218724	0.284836659216736	0.99943455382001	0.545404116611849	non-sig	NA
0610009E02Rik	118.838680508723	-0.256961788541799	0.366929049472619	-0.70030374785296	0.483737631690543	0.99943455382001	0.315390125967279	non-sig	100125929
0610009L18Rik	26.9527912403013	-0.476358907394169	0.483220636361091	-0.985800008421424	0.32423126163848	0.99943455382001	0.489145113785634	non-sig	66838
0610010F05Rik	429.596233786249	0.179194922522478	0.155118940798847	1.1552098125454	0.248004517392128	0.99943455382001	0.605540408445534	non-sig	NA
0610012G03Rik	1349.83703903043	0.125574816413671	0.131547400117537	0.954597478182545	0.339781292959167	0.99943455382001	0.468800535379423	non-sig	NA
0610025J13Rik	2.55087430080937	-1.61772520925714	1.4619547072249	-1.10654947192443	0.268488763494159	0.99943455382001	0.57107388521432	non-sig	78687
0610030E20Rik	1491.59905880777	-0.00799443901160725	0.102871760435044	-0.0777126684504942	0.938056616617886	0.99943455382001	0.0277709488888446	non-sig	68364
0610033M10Rik	0.581550767851136	2.70047263385155	3.08543728324638	0.875231737334234	0.381447827888813	NA	0.418564853802004	non-sig	74093
0610038B21Rik	2.06997997402885	0.287074342662059	1.64092281302131	0.174946889874417	0.861121365591848	NA	0.0649356351986996	non-sig	70345
0610039K10Rik	1.01472903531442	2.02025277818332	2.59066921021493	0.779818886262098	0.435497488069296	NA	0.36101434564091	non-sig	68386
0610040B10Rik	56.786243767785	0.313118714850385	0.298522567737573	1.0488946186663	0.294226622546759	0.99943455382001	0.531318033504982	non-sig	67672
0610040F04Rik	33.1370308352895	-0.578289130497402	0.466235395618976	-1.24033725438126	0.214850678414604	0.99943455382001	0.667863270645409	non-sig	75394
0610040J01Rik	1180.34183870693	-0.0186928378053753	0.138335519699463	-0.13512681230378	0.892511611439367	0.99943455382001	0.0493861250743226	non-sig	NA
0610043K17Rik	159.823219642973	-0.573490690626439	0.235894061388076	-2.43113661807269	0.0150515379665287	0.916528345914166	1.8224191215817	non-sig	68400
1100001I12Rik	0.500326482489605	-2.44625976800882	3.09220472336763	-0.791105372009349	0.428882504626969	NA	0.367661669543019	non-sig	75405
1110002E22Rik	20.5753792277482	-0.872243388475847	0.642459550469863	-1.35766273197734	0.174570727472748	0.99943455382001	0.758028578287179	non-sig	102634333
1110002J07Rik	40.2422055386478	-0.233151683736615	0.404883483831313	-0.575848838115987	0.564717359504214	0.99943455382001	0.248168861774347	non-sig	68488
1110002L01Rik	218.026232797914	-0.102111725549104	0.263710324112591	-0.387211710018252	0.698599481699341	0.99943455382001	0.155771740907361	non-sig	100043040
1110004F10Rik	1323.14355032509	0.0402178853900338	0.0950478480094147	0.423133045432551	0.672198193552327	0.99943455382001	0.172502658976495	non-sig	56372
1110006O24Rik	18.6545191033637	0.319033388419922	0.507752605173447	0.628324473708887	0.529791402314283	0.99943455382001	0.275895093901682	non-sig	66123
1110008P14Rik	62.4506640265904	0.0193956443529529	0.298437738847455	0.0649905887501275	0.948181493503304	0.99943455382001	0.0231085254437961	non-sig	NA
1110012L19Rik	316.597677336348	-0.0846764447478777	0.144838179389813	-0.584627928247996	0.558797924539456	0.99943455382001	0.252745215590668	non-sig	NA
1110013H19Rik	29.7512415978876	-0.83808814996804	0.452736756767058	-1.8511599454675	0.064146546230261	0.99943455382001	1.19282672188483	non-sig	68522
1110017D15Rik	3.2266526035181	0.330790467144594	1.33805774399871	0.247216884793063	0.804740378616447	0.99943455382001	0.0943442069862623	non-sig	NA
1110018N20Rik	13.6336661519926	-1.14575506816638	0.576933202984706	-1.98594059457652	0.0470399205173277	0.99943455382001	1.32753342075239	non-sig	68941
1110019B22Rik	0.646573126591027	2.8416818187292	3.07996497484628	0.922634459137324	0.356197731654607	NA	0.448308850546622	non-sig	68529
1110019D14Rik	133.957687879351	-0.0258286944544239	0.267778710945875	-0.0964553692979893	0.92315891873179	0.99943455382001	0.0347235301903635	non-sig	76311
1110020A21Rik	45.7767609139412	-0.235489802117396	0.404004637660299	-0.582888858606132	0.55996812131042	0.99943455382001	0.251836696445682	non-sig	68531
1110025M09Rik	16.4819266677686	0.615534117725144	0.6781298200414	0.907693629646851	0.364040110571808	0.99943455382001	0.438850762394089	non-sig	68635
1110028F18Rik	0.152173355068314	-1.0807868251043	3.15988661804466	-0.342033419469047	0.732325742216641	NA	0.135295699570446	non-sig	68692
